title,site
The Toptal Engineering Blog,https://www.toptal.com/blog
A List Apart,http://alistapart.com/
David Walsh Blog,https://davidwalsh.name/
JavaScript Playground,http://javascriptplayground.com/
The GitHub Blog,https://github.com/blog/
Joel on Software,http://www.joelonsoftware.com/index.html
CodeBetter.Com,http://codebetter.com/
Twitter Engineering,https://engineering.twitter.com/
Facebook Engineering,https://www.facebook.com/Engineering/?sk=notes
Dropbox Tech Blog,https://blogs.dropbox.com/tech/
EVERNOTE Tech Blog,http://blog.evernote.com/tech/
FOURSQUARE Tech Blog,http://engineering.foursquare.com/
slideshare Articles,https://engineering.linkedin.com/blog/topic/slideshare
